iter	MultiClass
0	0.9892895238
1	0.9045884434
2	0.838154261
3	0.7839608627
4	0.7396798046
5	0.7037519169
6	0.6733086559
7	0.6459126361
8	0.6230299867
9	0.6042912179
10	0.5877276737
11	0.5723507846
12	0.5588959697
13	0.5485446016
14	0.5378414815
15	0.528516897
16	0.5202262857
17	0.5131643504
18	0.5065272085
19	0.5012898495
20	0.4962746855
21	0.4909657069
22	0.4872715085
23	0.4830155397
24	0.4798695328
25	0.4766298282
26	0.4733707509
27	0.4704386819
28	0.4686455015
29	0.4660541854
30	0.4632842938
31	0.4613038423
32	0.4594181358
33	0.4577299331
34	0.4559751693
35	0.4544841771
36	0.452907744
37	0.4517416279
38	0.4497739183
39	0.4481981167
40	0.4465590173
41	0.4450149272
42	0.4436192256
43	0.4418655832
44	0.4405211505
45	0.4396415204
46	0.4382420135
47	0.4371346706
48	0.4357892743
49	0.4346212213
50	0.4331709505
51	0.4326363555
52	0.431016911
53	0.4302591571
54	0.4289944632
55	0.427901485
56	0.4271941099
57	0.4260954549
58	0.4254788231
59	0.4248177165
60	0.4239603554
61	0.4226775717
62	0.4219461775
63	0.4213189193
64	0.4204339188
65	0.4192165993
66	0.4178112346
67	0.416751187
68	0.4158673072
69	0.4145839321
70	0.4138993152
71	0.4134039522
72	0.4127034901
73	0.4119467965
74	0.4111083921
75	0.410036404
76	0.4085600848
77	0.4079883567
78	0.4071754773
79	0.4061742732
80	0.4056725503
81	0.4049781924
82	0.404018261
83	0.4032939978
84	0.402516338
85	0.4009810967
86	0.400442466
87	0.3995768167
88	0.3988180365
89	0.3979279863
90	0.3968675433
91	0.3962290791
92	0.3953786752
93	0.3943453081
94	0.3937551653
95	0.3928234061
96	0.3919268027
97	0.3913619293
98	0.390873731
99	0.390397317
100	0.3897493649
101	0.388954802
102	0.3883612074
103	0.387804006
104	0.3868985279
105	0.3864490606
106	0.3856217322
107	0.3852546504
108	0.3845706082
109	0.3840039188
110	0.3835143411
111	0.3825993262
112	0.3817970585
113	0.3812169976
114	0.3803558301
115	0.3797514882
116	0.3786336514
117	0.377666014
118	0.3768489524
119	0.3762508248
120	0.3758096233
121	0.375321689
122	0.3745999896
123	0.3741349499
124	0.3734678836
125	0.3732228492
126	0.3722660988
127	0.3715948148
128	0.3704598432
129	0.3695623966
130	0.3691678582
131	0.3679815198
132	0.3670849098
133	0.3661323206
134	0.3649145528
135	0.3643910187
136	0.3635316695
137	0.3628997495
138	0.3621371403
139	0.3614460968
140	0.3609468888
141	0.3604882426
142	0.3599044743
143	0.3591691963
144	0.3584558544
145	0.3580316536
146	0.3575966361
147	0.3569467578
148	0.356017481
149	0.355463374
150	0.3549684806
151	0.3544939596
152	0.3541406443
153	0.3536964222
154	0.3532909073
155	0.3526591377
156	0.352361187
157	0.3517377356
158	0.3507741736
159	0.3503349574
