iter	Passed	Remaining
0	59	59527
1	62	30949
2	64	21317
3	66	16535
4	68	13690
5	71	11816
6	74	10519
7	77	9606
8	79	8785
9	82	8135
10	84	7603
11	87	7167
12	89	6782
13	91	6462
14	94	6179
15	96	5939
16	99	5724
17	101	5528
18	103	5351
19	105	5190
20	108	5050
21	110	4923
22	113	4805
23	115	4694
24	117	4591
25	120	4495
26	122	4406
27	124	4325
28	126	4228
29	128	4157
30	130	4093
31	133	4030
32	135	3968
33	137	3916
34	140	3867
35	142	3822
36	145	3780
37	147	3736
38	149	3694
39	152	3654
40	154	3616
41	156	3578
42	159	3542
43	161	3508
44	163	3474
45	166	3442
46	168	3408
47	170	3375
48	172	3343
49	174	3318
50	176	3291
51	178	3262
52	181	3237
53	183	3211
54	185	3186
55	187	3161
56	189	3136
57	191	3116
58	193	3093
59	196	3076
60	198	3063
61	201	3043
62	203	3022
63	205	3001
64	207	2984
65	209	2966
66	211	2949
67	213	2930
68	216	2914
69	218	2898
70	220	2882
71	222	2866
72	224	2851
73	226	2837
74	228	2820
75	230	2806
76	233	2794
77	235	2779
78	237	2765
79	239	2753
80	241	2740
81	243	2726
82	245	2714
83	247	2703
84	250	2691
85	252	2680
86	254	2667
87	256	2657
88	258	2645
89	260	2633
90	262	2622
91	264	2613
92	267	2604
93	269	2593
94	271	2585
95	273	2577
96	275	2567
97	277	2558
98	280	2550
99	282	2543
100	284	2535
101	287	2527
102	289	2518
103	291	2509
104	293	2499
105	295	2491
106	297	2483
107	299	2474
108	301	2465
109	303	2458
110	305	2450
111	308	2442
112	310	2434
113	312	2427
114	314	2420
115	316	2411
116	318	2404
117	320	2397
118	322	2390
119	325	2383
120	327	2378
121	329	2371
122	331	2364
123	333	2357
124	335	2350
125	337	2344
126	340	2337
127	342	2330
128	344	2325
129	346	2320
130	348	2313
131	350	2307
132	353	2301
133	355	2296
134	357	2290
135	359	2285
136	361	2280
137	364	2274
138	366	2270
139	368	2265
140	370	2259
141	373	2254
142	375	2250
143	377	2245
144	379	2240
145	382	2236
146	384	2231
147	386	2227
148	389	2222
149	391	2218
150	393	2213
151	395	2208
152	398	2204
153	400	2199
154	402	2194
155	404	2189
156	407	2185
157	409	2182
158	411	2178
159	413	2173
